folder	zotero_key	read_status	title	repo	clone_remote_url	clone_commit	code_snapshot_status	paper_file
01_POPE	L8HBN4RC	Read	Evaluating object hallucination in large vision-language models	RUCAIBox/POPE	https://github.com/RUCAIBox/POPE.git	08d957b917e5a378a2f99d35b6293c536a66298b	snapshot_without_nested_git	01_POPE__Evaluating object hallucination in large vision-language models.pdf
02_DeCo	A7ADE47D	Read	MLLM can see? Dynamic correction decoding for hallucination mitigation	zjunlp/DeCo	https://github.com/zjunlp/DeCo.git	c1a9129f43de016fb60d14619d98301b0426f961	snapshot_without_nested_git	02_DeCo__MLLM can see Dynamic correction decoding for hallucination mitigation.pdf
03_LVLMs-Saliency	CKDWH6SQ	Read	Hallucination begins where saliency drops	zhangbaijin/LVLMs-Saliency	https://github.com/zhangbaijin/LVLMs-Saliency.git	05c0d0d5b42d39179711fadcfdac0b3c45d59c87	snapshot_without_nested_git	03_LVLMs-Saliency__Hallucination begins where saliency drops.pdf
04_AdaIAT	XDV2VGRF	To Read	AdaIAT: Adaptively increasing attention to generated text to alleviate hallucinations in LVLM	XianguiKang/AdaIAT	https://github.com/XianguiKang/AdaIAT.git	a0bf78e8c8c98bcc740bdb00a9d43ba05de64798	snapshot_without_nested_git	04_AdaIAT__AdaIAT Adaptively increasing attention to generated text to alleviate hallucinations in LVLM.pdf
05_PND_no_released_code	NPFJK64E	To Read	Breaking the illusion: When positive meets negative in multimodal decoding	NO_PUBLIC_CODE_REPO			paper_only	05_PND_no_released_code__Breaking the illusion When positive meets negative in multimodal decoding.pdf
06_CausalLens	2SUTPJCS	To Read	CausalLens: Sensitivity-guided multi-head causal intervention for hallucination mitigation in large vision-language models	jijy20/CausalLens	https://github.com/jijy20/CausalLens.git	7d93bf291f8d3052926c4d058a7b4f8435ded407	snapshot_without_nested_git	06_CausalLens__CausalLens Sensitivity-guided multi-head causal intervention for hallucination mitigation in large vision-language model.pdf
07_IMCCD	QLSEHJAC	To Read	Cross-modal attention calibration for LVLM hallucination mitigation	lijm48/IMCCD	https://github.com/lijm48/IMCCD.git	9db52a0d868198298cf45cbb1f2d760d3f4678f7	snapshot_without_nested_git	07_IMCCD__Cross-modal attention calibration for LVLM hallucination mitigation.pdf
08_KVSmooth_no_code_found	SIQGDITI	To Read	KVSmooth: Mitigating hallucination in multi-modal large language models through key-value smoothing	NO_PUBLIC_CODE_REPO			paper_only	08_KVSmooth_no_code_found__KVSmooth Mitigating hallucination in multi-modal large language models through key-value smoothing.pdf
09_PAS	T4B5R6ME	To Read	PAS: Prelim attention score for detecting object hallucinations in large vision-language models	lanl/PAS	https://github.com/lanl/PAS.git	28bedb6f0caf1f373336d9a55a2dc2b6c5396466	snapshot_without_nested_git	09_PAS__PAS Prelim attention score for detecting object hallucinations in large vision-language models.pdf
10_Residual-Decoding_no_code_found	5M8RRBGI	To Read	Residual decoding: Mitigating hallucinations in large vision-language models via history-aware residual guidance	NO_PUBLIC_CODE_REPO			paper_only	10_Residual-Decoding_no_code_found__Residual decoding Mitigating hallucinations in large vision-language models via history-aware residual guidance.pdf
11_SADT_placeholder_only	UXUEVPPV	To Read	Same attention, different truths: Put logit-lens over visual attention to detect and mitigate LVLM object hallucination	NO_PUBLIC_CODE_REPO			paper_only	11_SADT_placeholder_only__Same attention, different truths Put logit-lens over visual attention to detect and mitigate LVLM object hallucination.pdf
12_LEAD	NFDTL44V	To Read	Thinking in uncertainty: Mitigating hallucinations in MLRMs with latent entropy-aware decoding	mlrm-LEAD/mlrm-LEAD	https://github.com/mlrm-LEAD/mlrm-LEAD.git	dd2651d2ce04abba0e77af803fad42177a51d7b1	snapshot_without_nested_git	12_LEAD__Thinking in uncertainty Mitigating hallucinations in MLRMs with latent entropy-aware decoding.pdf
13_DaID_no_code_found	G7V4ZNYB	To Read	Spotlight and shadow: Attention-guided dual-anchor introspective decoding for MLLM hallucination mitigation	NO_PUBLIC_CODE_REPO			paper_only	13_DaID_no_code_found__Spotlight and shadow Attention-guided dual-anchor introspective decoding for MLLM hallucination mitigation.pdf
14_REVIS	UF5LKHVU	To Read	Revis: Sparse latent steering to mitigate object hallucination in large vision-language models	antgroup/Revis	https://github.com/antgroup/Revis.git	75f4d29d402d4c1c4dbb2c69e88e3aa50cd0c9cc	snapshot_without_nested_git	14_REVIS__Revis Sparse latent steering to mitigate object hallucination in large vision-language models.pdf
15_InsLen_placeholder_only	SPE7IM3A	To Read	Instruction lens score: Your instruction contributes a powerful object hallucination detector for multimodal large language models	NO_PUBLIC_CODE_REPO			paper_only	15_InsLen_placeholder_only__Instruction lens score Your instruction contributes a powerful object hallucination detector for multimodal large langua.pdf
16_RUDDER_no_public_github	EZVVPIPH	To Read	Adaptive residual-update steering for low-overhead hallucination mitigation in large vision language models	NO_PUBLIC_CODE_REPO			paper_only	16_RUDDER_no_public_github__Adaptive residual-update steering for low-overhead hallucination mitigation in large vision language models.pdf
17_ILVAD	7LX7H6IA	To Read	Finding the correct visual evidence without forgetting: Mitigating hallucination in LVLMs via inter-layer visual attention discrepancy	ytx-ML/ILVAD	https://github.com/ytx-ML/ILVAD.git	fd346b561eb438175b27313a7d16a20983324ba6	snapshot_without_nested_git	17_ILVAD__Finding the correct visual evidence without forgetting Mitigating hallucination in LVLMs via inter-layer visual attentio.pdf
